Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total,Share of workforce (%),Sub-Major Group,Major Group
1988,5614,Mail Sorters,5,77.2,15588,0.22,Clerical and Office Support Workers,Clerical and Administrative Workers
1988,5612,Couriers and Postal Deliverers,5,77.8,32215,0.45,Clerical and Office Support Workers,Clerical and Administrative Workers
1988,3341,Plumbers,3,40.3,48037,0.68,Construction Trades Workers,Technicians and Trades Workers
1988,3311,Bricklayers and Stonemasons,3,83.1,28978,0.41,Construction Trades Workers,Technicians and Trades Workers
1988,3331,Glaziers,3,73,6247,0.08,Construction Trades Workers,Technicians and Trades Workers
1988,3332,Plasterers,3,77.5,16457,0.23,Construction Trades Workers,Technicians and Trades Workers
1988,3333,Roof Tilers,3,90,4795,0.06,Construction Trades Workers,Technicians and Trades Workers
1988,3322,Painting Trades Workers,3,75.2,35750,0.5,Construction Trades Workers,Technicians and Trades Workers
1988,3334,Wall and Floor Tilers,3,80.6,8157,0.11,Construction Trades Workers,Technicians and Trades Workers
1988,3312,Carpenters and Joiners,3,72,98395,1.39,Construction Trades Workers,Technicians and Trades Workers
1988,3321,Floor Finishers,3,80.6,7086,0.1,Construction Trades Workers,Technicians and Trades Workers
1988,8213,Fencers,4,85.6,10214,0.14,Construction and Mining Labourers,Labourers
1988,8212,Concreters,5,90,21468,0.3,Construction and Mining Labourers,Labourers
1988,8214,Insulation and Home Improvement Installers,4,67.3,13865,0.19,Construction and Mining Labourers,Labourers
1988,8216,Railway Track Workers,4,87.2,8706,0.12,Construction and Mining Labourers,Labourers
1988,8215,Paving and Surfacing Labourers,5,87.2,14029,0.19,Construction and Mining Labourers,Labourers
1988,8217,Structural Steel Construction Workers,4,77.7,12724,0.18,Construction and Mining Labourers,Labourers
1988,8211,Building and Plumbing Labourers,5,85.8,41066,0.58,Construction and Mining Labourers,Labourers
1988,8219,Other Construction and Mining Labourers,5,56.7,9129,0.12,Construction and Mining Labourers,Labourers
1988,2332,Civil Engineering Professionals,1,1.9,24871,0.35,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2335,"Industrial, Mechanical and Production Engineers",1,2.1,23568,0.33,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2334,Electronics Engineers,1,12.9,4862,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2333,Electrical Engineers,1,10,12129,0.17,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2331,Chemical and Materials Engineers,1,1.8,2050,0.02,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2325,Interior Designers,1,15.1,2333,0.03,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2324,"Graphic and Web Designers, and Illustrators",1,7.3,12285,0.17,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2323,"Fashion, Industrial and Jewellery Designers",1,3.1,2355,0.03,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2326,Urban and Regional Planners,1,13,2884,0.04,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2345,Life Scientists,1,4.3,4359,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2344,"Geologists, Geophysicists and Hydrogeologists",1,53.2,5172,0.07,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2347,Veterinarians,1,3.8,3287,0.04,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2346,Medical Laboratory Scientists,1,59.8,7725,0.1,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2349,Other Natural and Physical Science Professionals,1,16.1,2866,0.04,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2339,Other Engineering Professionals,1,2.2,4049,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2336,Mining Engineers,1,12,3483,0.04,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2343,Environmental Scientists,1,8.6,6005,0.08,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2342,"Chemists, and Food and Wine Scientists",1,6.6,9477,0.13,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2341,Agricultural and Forestry Scientists,1,1.1,2895,0.04,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2311,Air Transport Professionals,1,25.5,8203,0.11,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2321,Architects and Landscape Architects,1,2.2,12287,0.17,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2312,Marine Transport Professionals,1,20,11488,0.16,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2322,Surveyors and Spatial Scientists,1,48.7,7439,0.1,"Design, Engineering, Science and Transport Professionals",Professionals
1988,2411,Early Childhood (Pre-primary School) Teachers,1,5.1,9990,0.14,Education Professionals,Professionals
1988,2412,Primary School Teachers,1,5.7,107389,1.52,Education Professionals,Professionals
1988,2415,Special Education Teachers,1,1.1,5274,0.07,Education Professionals,Professionals
1988,2491,Education Advisers and Reviewers,1,0.4,6521,0.09,Education Professionals,Professionals
1988,2492,Private Tutors and Teachers,1,11.9,17122,0.24,Education Professionals,Professionals
1988,2493,Teachers of English to Speakers of Other Languages,1,17.1,1990,0.02,Education Professionals,Professionals
1988,2422,Vocational Education Teachers,1,5.3,27763,0.39,Education Professionals,Professionals
1988,2414,Secondary School Teachers,1,0.8,110247,1.56,Education Professionals,Professionals
1988,3421,Airconditioning and Refrigeration Mechanics,3,56.3,12605,0.17,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1988,3411,Electricians,3,27.7,92997,1.32,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1988,3423,Electronics Trades Workers,3,47.9,20655,0.29,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1988,3422,Electrical Distribution Trades Workers,3,7.3,11595,0.16,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1988,3424,Telecommunications Trades Workers,3,44.8,35826,0.5,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1988,3125,Mechanical Engineering Draftspersons and Technicians,2,56.1,9779,0.13,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3129,Other Building and Engineering Technicians,2,43.5,8959,0.12,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3132,Telecommunications Technical Specialists,2,73.2,8037,0.11,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3131,ICT Support Technicians,2,31,17493,0.24,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3126,Safety Inspectors,2,21.1,3140,0.04,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3124,Electronic Engineering Draftspersons and Technicians,2,82.8,20120,0.28,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3111,Agricultural Technicians,2,73.1,1592,0.02,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3121,"Architectural, Building and Surveying Technicians",2,45.3,33107,0.47,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3122,Civil Engineering Draftspersons and Technicians,2,63,10066,0.14,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3123,Electrical Engineering Draftspersons and Technicians,2,77.3,7670,0.1,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1988,3113,Primary Products Inspectors,2,33.7,2482,0.03,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
