Year,ANZSCO,Occupation,Skill Level,Automation probability,Employed total,Share of workforce (%),Sub-Major Group,Major Group
1996,3999,Other Miscellaneous Technicians and Trades Workers,3,46.6,7378,0.09,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3923,Printers,3,83,22413,0.28,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3995,Performing Arts Technicians,3,49.6,6504,0.08,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3996,Signwriters,3,93.3,4988,0.06,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3931,Canvas and Leather Goods Makers,3,69.9,7110,0.09,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3922,Graphic Pre-press Trades Workers,3,74.8,10598,0.13,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3933,Upholsterers,3,39,7358,0.09,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3932,Clothing Trades Workers,3,80.9,12368,0.15,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3941,Cabinetmakers,3,91.3,23190,0.29,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3942,Wood Machinists and Other Wood Trades Workers,3,90.7,12617,0.15,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3921,Print Finishers and Screen Printers,3,90.1,7700,0.09,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,3911,Hairdressers,3,15.8,42528,0.53,Other Technicians and Trades Workers,Technicians and Trades Workers
1996,5212,Secretaries,3,95.4,139852,1.77,Personal Assistants and Secretaries,Clerical and Administrative Workers
1996,5211,Personal Assistants,3,85.1,80820,1.02,Personal Assistants and Secretaries,Clerical and Administrative Workers
1996,4413,Police,2,10.4,41527,0.52,Protective Service Workers,Community and Personal Service Workers
1996,4412,Fire and Emergency Workers,3,19,9083,0.11,Protective Service Workers,Community and Personal Service Workers
1996,4421,Prison Officers,4,54.6,9128,0.11,Protective Service Workers,Community and Personal Service Workers
1996,4422,Security Officers and Guards,5,83.1,30424,0.38,Protective Service Workers,Community and Personal Service Workers
1996,7311,Automobile Drivers,4,78.7,29720,0.37,Road and Rail Drivers,Machinery Operators and Drivers
1996,7321,Delivery Drivers,4,78.7,33119,0.41,Road and Rail Drivers,Machinery Operators and Drivers
1996,7313,Train and Tram Drivers,4,75.8,9337,0.11,Road and Rail Drivers,Machinery Operators and Drivers
1996,7312,Bus and Coach Drivers,4,82.3,26953,0.34,Road and Rail Drivers,Machinery Operators and Drivers
1996,7331,Truck Drivers,4,78.4,142272,1.8,Road and Rail Drivers,Machinery Operators and Drivers
1996,6212,ICT Sales Assistants,5,92.3,13325,0.16,Sales Assistants and Salespersons,Sales Workers
1996,6211,Sales Assistants (General),5,91.7,421690,5.34,Sales Assistants and Salespersons,Sales Workers
1996,6216,Service Station Attendants,5,75.5,10368,0.13,Sales Assistants and Salespersons,Sales Workers
1996,6213,Motor Vehicle and Vehicle Parts Salespersons,4,92.3,24330,0.3,Sales Assistants and Salespersons,Sales Workers
1996,6217,Street Vendors and Related Salespersons,5,94,18912,0.23,Sales Assistants and Salespersons,Sales Workers
1996,6219,Other Sales Assistants and Salespersons,5,96.2,5841,0.07,Sales Assistants and Salespersons,Sales Workers
1996,6215,Retail Supervisors,4,28,18098,0.22,Sales Assistants and Salespersons,Sales Workers
1996,6214,Pharmacy Sales Assistants,5,92.3,27136,0.34,Sales Assistants and Salespersons,Sales Workers
1996,6111,"Auctioneers, and Stock and Station Agents",3,34.7,3702,0.04,Sales Representatives and Agents,Sales Workers
1996,6112,Insurance Agents,3,88.5,10229,0.12,Sales Representatives and Agents,Sales Workers
1996,6113,Sales Representatives,4,77.9,92582,1.17,Sales Representatives and Agents,Sales Workers
1996,6121,Real Estate Sales Agents,3,79.5,47114,0.59,Sales Representatives and Agents,Sales Workers
1996,6399,Other Sales Support Workers,5,78.6,1201,0.01,Sales Support Workers,Sales Workers
1996,6395,Visual Merchandisers,4,28.4,3395,0.04,Sales Support Workers,Sales Workers
1996,6393,Telemarketers,5,99,10438,0.13,Sales Support Workers,Sales Workers
1996,6394,Ticket Salespersons,5,93.2,15951,0.2,Sales Support Workers,Sales Workers
1996,6311,Checkout Operators and Office Cashiers,5,96.9,95498,1.21,Sales Support Workers,Sales Workers
1996,6391,Models and Sales Demonstrators,5,54.4,10854,0.13,Sales Support Workers,Sales Workers
1996,6392,Retail and Wool Buyers,3,64.1,3657,0.04,Sales Support Workers,Sales Workers
1996,3621,Florists,3,40,5558,0.07,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1996,3622,Gardeners,3,66,41461,0.52,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1996,3611,Animal Attendants and Trainers,3,73.9,8909,0.11,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1996,3612,Shearers,3,61.8,7138,0.09,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1996,3613,Veterinary Nurses,3,42.6,4863,0.06,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1996,3624,Nurserypersons,3,66,4897,0.06,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1996,3623,Greenkeepers,3,66,9929,0.12,Skilled Animal and Horticultural Workers,Technicians and Trades Workers
1996,1334,Manufacturers,1,3,27242,0.34,Specialist Managers,Managers
1996,1333,"Importers, Exporters and Wholesalers",1,23.9,13894,0.17,Specialist Managers,Managers
1996,1336,"Supply, Distribution and Procurement Managers",1,59,11869,0.15,Specialist Managers,Managers
1996,1335,Production Managers,1,5.5,41530,0.52,Specialist Managers,Managers
1996,1332,Engineering Managers,1,25,5034,0.06,Specialist Managers,Managers
1996,1324,Policy and Planning Managers,1,25,16333,0.2,Specialist Managers,Managers
1996,1323,Human Resource Managers,1,11.3,19293,0.24,Specialist Managers,Managers
1996,1331,Construction Managers,1,9.5,49870,0.63,Specialist Managers,Managers
1996,1325,Research and Development Managers,1,1.7,5272,0.06,Specialist Managers,Managers
1996,1341,Child Care Centre Managers,1,1.5,6204,0.07,Specialist Managers,Managers
1996,1322,Finance Managers,1,6.9,32736,0.41,Specialist Managers,Managers
1996,1399,Other Specialist Managers,1,13.1,15910,0.2,Specialist Managers,Managers
1996,1311,"Advertising, Public Relations and Sales Managers",1,1.5,62309,0.78,Specialist Managers,Managers
1996,1321,Corporate Services Managers,1,38.9,2524,0.03,Specialist Managers,Managers
1996,1391,Commissioned Officers (Management),1,25,1730,0.02,Specialist Managers,Managers
1996,1343,School Principals,1,0.7,11510,0.14,Specialist Managers,Managers
1996,1342,Health and Welfare Services Managers,1,5,4354,0.05,Specialist Managers,Managers
1996,1351,ICT Managers,1,3.5,10992,0.13,Specialist Managers,Managers
1996,1344,Other Education Managers,1,0.7,5448,0.06,Specialist Managers,Managers
1996,4518,Other Personal Service Workers,4,51.8,3671,0.04,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4517,Travel Attendants,3,35.4,7674,0.09,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4516,Tourism and Travel Advisers,4,45.6,16867,0.21,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4523,"Sports Coaches, Instructors and Officials",3,8.9,13541,0.17,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4522,Outdoor Adventure Guides,4,8.3,357,0,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4521,Fitness Instructors,4,8.3,6026,0.07,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4515,Personal Care Consultants,4,35.1,2151,0.02,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4511,Beauty Therapists,4,35.1,10831,0.13,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4524,Sportspersons,3,40.3,4416,0.05,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4512,Driving Instructors,3,13,2784,0.03,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4514,"Gallery, Museum and Tour Guides",4,61,5160,0.06,Sports and Personal Service Workers,Community and Personal Service Workers
1996,4513,Funeral Workers,2,39,2453,0.03,Sports and Personal Service Workers,Community and Personal Service Workers
1996,7411,Storepersons,4,76.4,65017,0.82,Storepersons,Machinery Operators and Drivers
1997,2124,Journalists and Other Writers,1,17,19225,0.24,Arts and Media Professionals,Professionals
1997,2123,"Film, Television, Radio and Stage Directors",1,8.5,4582,0.05,Arts and Media Professionals,Professionals
1997,2114,Visual Arts and Crafts Professionals,1,16.5,16017,0.2,Arts and Media Professionals,Professionals
1997,2122,"Authors, and Book and Script Editors",1,38.5,3248,0.04,Arts and Media Professionals,Professionals
1997,2112,Music Professionals,1,5.2,8265,0.1,Arts and Media Professionals,Professionals
1997,2113,Photographers,1,2.1,7402,0.09,Arts and Media Professionals,Professionals
1997,2121,"Artistic Directors, and Media Producers and Presenters",1,10,7149,0.08,Arts and Media Professionals,Professionals
1997,2111,"Actors, Dancers and Other Entertainers",1,21.4,4324,0.05,Arts and Media Professionals,Professionals
1997,3241,Panelbeaters,3,80.7,17837,0.22,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3231,Aircraft Maintenance Engineers,3,52.4,12205,0.15,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3242,Vehicle Body Builders and Trimmers,3,68.2,6172,0.07,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3232,Metal Fitters and Machinists,3,64.4,96905,1.21,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3233,Precision Metal Trades Workers,3,55.8,8014,0.1,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3234,Toolmakers and Engineering Patternmakers,3,79,9993,0.12,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3243,Vehicle Painters,3,79.6,10431,0.13,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3212,Motor Mechanics,3,65.1,95240,1.19,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3221,"Metal Casting, Forging and Finishing Trades Workers",3,92.2,5064,0.06,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3211,Automotive Electricians,3,59.2,6782,0.08,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3222,Sheetmetal Trades Workers,3,80.7,9985,0.12,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,3223,Structural Steel and Welding Trades Workers,3,83.2,62823,0.79,Automotive and Engineering Trades Workers,Technicians and Trades Workers
1997,2221,Financial Brokers,2,36,8945,0.11,"Business, Human Resource and Marketing Professionals",Professionals
1997,2222,Financial Dealers,1,20.5,10382,0.13,"Business, Human Resource and Marketing Professionals",Professionals
1997,2223,Financial Investment Advisers and Managers,1,43.8,18054,0.22,"Business, Human Resource and Marketing Professionals",Professionals
1997,2254,Technical Sales Representatives,1,21.7,16547,0.2,"Business, Human Resource and Marketing Professionals",Professionals
1997,2211,Accountants,1,94.3,95005,1.19,"Business, Human Resource and Marketing Professionals",Professionals
1997,2212,"Auditors, Company Secretaries and Corporate Treasurers",1,76.3,7649,0.09,"Business, Human Resource and Marketing Professionals",Professionals
1997,2231,Human Resource Professionals,1,24.8,36114,0.45,"Business, Human Resource and Marketing Professionals",Professionals
1997,2249,Other Information and Organisation Professionals,1,35.2,6395,0.08,"Business, Human Resource and Marketing Professionals",Professionals
1997,2247,Management and Organisation Analysts,1,10.9,23635,0.29,"Business, Human Resource and Marketing Professionals",Professionals
1997,2246,Librarians,1,59.5,12580,0.15,"Business, Human Resource and Marketing Professionals",Professionals
1997,2253,Public Relations Professionals,1,18,10807,0.13,"Business, Human Resource and Marketing Professionals",Professionals
1997,2252,ICT Sales Professionals,1,15.1,6649,0.08,"Business, Human Resource and Marketing Professionals",Professionals
1997,2251,Advertising and Marketing Professionals,1,58.2,22969,0.28,"Business, Human Resource and Marketing Professionals",Professionals
1997,2241,"Actuaries, Mathematicians and Statisticians",1,11.9,3420,0.04,"Business, Human Resource and Marketing Professionals",Professionals
1997,2233,Training and Development Professionals,1,1.4,15628,0.19,"Business, Human Resource and Marketing Professionals",Professionals
1997,2232,ICT Trainers,1,1.4,4255,0.05,"Business, Human Resource and Marketing Professionals",Professionals
1997,2244,Intelligence and Policy Analysts,1,23,8332,0.1,"Business, Human Resource and Marketing Professionals",Professionals
1997,2243,Economists,1,43,2634,0.03,"Business, Human Resource and Marketing Professionals",Professionals
1997,2242,"Archivists, Curators and Records Managers",1,56,2413,0.03,"Business, Human Resource and Marketing Professionals",Professionals
1997,2245,Land Economists and Valuers,1,67.6,3650,0.04,"Business, Human Resource and Marketing Professionals",Professionals
1997,4221,Education Aides,4,56,35712,0.44,Carers and Aides,Community and Personal Service Workers
1997,4233,Nursing Support and Personal Care Workers,4,47.4,48791,0.61,Carers and Aides,Community and Personal Service Workers
1997,4211,Child Carers,4,8.4,67041,0.84,Carers and Aides,Community and Personal Service Workers
1997,4231,Aged and Disabled Carers,4,55,51881,0.65,Carers and Aides,Community and Personal Service Workers
1997,4232,Dental Assistants,4,60.1,12387,0.15,Carers and Aides,Community and Personal Service Workers
1997,4234,Special Care Workers,4,9.3,1511,0.01,Carers and Aides,Community and Personal Service Workers
1997,1112,General Managers,1,14,19468,0.24,"Chief Executives, General Managers and Legislators",Managers
1997,1111,Chief Executives and Managing Directors,1,14,22163,0.27,"Chief Executives, General Managers and Legislators",Managers
1997,8116,Other Cleaners,5,78.5,15697,0.19,Cleaners and Laundry Workers,Labourers
1997,8112,Commercial Cleaners,5,65.5,143542,1.8,Cleaners and Laundry Workers,Labourers
1997,8114,Housekeepers,5,70.6,13331,0.16,Cleaners and Laundry Workers,Labourers
1997,8115,Laundry Workers,5,73.1,18394,0.23,Cleaners and Laundry Workers,Labourers
1997,8111,Car Detailers,5,37,14680,0.18,Cleaners and Laundry Workers,Labourers
1997,8113,Domestic Cleaners,5,69,25132,0.31,Cleaners and Laundry Workers,Labourers
1997,5616,Switchboard Operators,5,96.1,12295,0.15,Clerical and Office Support Workers,Clerical and Administrative Workers
1997,5615,Survey Interviewers,5,94,2411,0.03,Clerical and Office Support Workers,Clerical and Administrative Workers
1997,5611,Betting Clerks,5,76.9,5209,0.06,Clerical and Office Support Workers,Clerical and Administrative Workers
1997,5619,Other Clerical and Office Support Workers,5,96.7,6353,0.07,Clerical and Office Support Workers,Clerical and Administrative Workers
1997,5612,Couriers and Postal Deliverers,5,77.8,36887,0.46,Clerical and Office Support Workers,Clerical and Administrative Workers
1997,5613,Filing and Registry Clerks,5,94.5,23728,0.29,Clerical and Office Support Workers,Clerical and Administrative Workers
1997,5614,Mail Sorters,5,77.2,20333,0.25,Clerical and Office Support Workers,Clerical and Administrative Workers
1997,3333,Roof Tilers,3,90,8255,0.1,Construction Trades Workers,Technicians and Trades Workers
1997,3312,Carpenters and Joiners,3,72,93680,1.17,Construction Trades Workers,Technicians and Trades Workers
1997,3331,Glaziers,3,73,6026,0.07,Construction Trades Workers,Technicians and Trades Workers
1997,3332,Plasterers,3,77.5,19620,0.24,Construction Trades Workers,Technicians and Trades Workers
1997,3311,Bricklayers and Stonemasons,3,83.1,21255,0.26,Construction Trades Workers,Technicians and Trades Workers
1997,3334,Wall and Floor Tilers,3,80.6,9272,0.11,Construction Trades Workers,Technicians and Trades Workers
1997,3341,Plumbers,3,40.3,49647,0.62,Construction Trades Workers,Technicians and Trades Workers
1997,3321,Floor Finishers,3,80.6,7634,0.09,Construction Trades Workers,Technicians and Trades Workers
1997,3322,Painting Trades Workers,3,75.2,33620,0.42,Construction Trades Workers,Technicians and Trades Workers
1997,8219,Other Construction and Mining Labourers,5,56.7,5327,0.06,Construction and Mining Labourers,Labourers
1997,8211,Building and Plumbing Labourers,5,85.8,36973,0.46,Construction and Mining Labourers,Labourers
1997,8215,Paving and Surfacing Labourers,5,87.2,10468,0.13,Construction and Mining Labourers,Labourers
1997,8216,Railway Track Workers,4,87.2,6947,0.08,Construction and Mining Labourers,Labourers
1997,8217,Structural Steel Construction Workers,4,77.7,9751,0.12,Construction and Mining Labourers,Labourers
1997,8212,Concreters,5,90,21671,0.27,Construction and Mining Labourers,Labourers
1997,8213,Fencers,4,85.6,7408,0.09,Construction and Mining Labourers,Labourers
1997,8214,Insulation and Home Improvement Installers,4,67.3,11867,0.14,Construction and Mining Labourers,Labourers
1997,2332,Civil Engineering Professionals,1,1.9,28272,0.35,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2331,Chemical and Materials Engineers,1,1.8,3007,0.03,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2326,Urban and Regional Planners,1,13,5351,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2333,Electrical Engineers,1,10,13643,0.17,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2336,Mining Engineers,1,12,4197,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2335,"Industrial, Mechanical and Production Engineers",1,2.1,26706,0.33,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2334,Electronics Engineers,1,12.9,5469,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2325,Interior Designers,1,15.1,4732,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2312,Marine Transport Professionals,1,20,9153,0.11,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2311,Air Transport Professionals,1,25.5,10193,0.12,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2349,Other Natural and Physical Science Professionals,1,16.1,4671,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2321,Architects and Landscape Architects,1,2.2,15845,0.19,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2324,"Graphic and Web Designers, and Illustrators",1,7.3,24905,0.31,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2323,"Fashion, Industrial and Jewellery Designers",1,3.1,4775,0.06,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2322,Surveyors and Spatial Scientists,1,48.7,7432,0.09,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2346,Medical Laboratory Scientists,1,59.8,13932,0.17,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2347,Veterinarians,1,3.8,4122,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2342,"Chemists, and Food and Wine Scientists",1,6.6,6930,0.08,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2343,Environmental Scientists,1,8.6,9508,0.11,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2344,"Geologists, Geophysicists and Hydrogeologists",1,53.2,6207,0.07,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2345,Life Scientists,1,4.3,6209,0.07,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2341,Agricultural and Forestry Scientists,1,1.1,4591,0.05,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2339,Other Engineering Professionals,1,2.2,5905,0.07,"Design, Engineering, Science and Transport Professionals",Professionals
1997,2492,Private Tutors and Teachers,1,11.9,25886,0.32,Education Professionals,Professionals
1997,2414,Secondary School Teachers,1,0.8,114975,1.44,Education Professionals,Professionals
1997,2493,Teachers of English to Speakers of Other Languages,1,17.1,1046,0.01,Education Professionals,Professionals
1997,2491,Education Advisers and Reviewers,1,0.4,8345,0.1,Education Professionals,Professionals
1997,2412,Primary School Teachers,1,5.7,121112,1.52,Education Professionals,Professionals
1997,2411,Early Childhood (Pre-primary School) Teachers,1,5.1,12335,0.15,Education Professionals,Professionals
1997,2422,Vocational Education Teachers,1,5.3,35285,0.44,Education Professionals,Professionals
1997,2415,Special Education Teachers,1,1.1,13077,0.16,Education Professionals,Professionals
1997,3421,Airconditioning and Refrigeration Mechanics,3,56.3,15263,0.19,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1997,3422,Electrical Distribution Trades Workers,3,7.3,8023,0.1,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1997,3411,Electricians,3,27.7,92295,1.16,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1997,3424,Telecommunications Trades Workers,3,44.8,32955,0.41,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1997,3423,Electronics Trades Workers,3,47.9,33507,0.42,Electrotechnology and Telecommunications Trades Workers,Technicians and Trades Workers
1997,3126,Safety Inspectors,2,21.1,5959,0.07,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3125,Mechanical Engineering Draftspersons and Technicians,2,56.1,8719,0.1,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3124,Electronic Engineering Draftspersons and Technicians,2,82.8,15761,0.19,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3132,Telecommunications Technical Specialists,2,73.2,6469,0.08,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3131,ICT Support Technicians,2,31,23987,0.3,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3129,Other Building and Engineering Technicians,2,43.5,6006,0.07,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3123,Electrical Engineering Draftspersons and Technicians,2,77.3,7440,0.09,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3113,Primary Products Inspectors,2,33.7,3271,0.04,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3112,Medical Technicians,2,61.7,9558,0.12,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3111,Agricultural Technicians,2,73.1,3185,0.04,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3122,Civil Engineering Draftspersons and Technicians,2,63,9606,0.12,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3121,"Architectural, Building and Surveying Technicians",2,45.3,39869,0.5,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,3114,Science Technicians,2,55,24203,0.3,"Engineering, ICT and Science Technicians",Technicians and Trades Workers
1997,8321,Packers,5,60.1,70452,0.88,Factory Process Workers,Labourers
1997,8322,Product Assemblers,5,95.2,50721,0.63,Factory Process Workers,Labourers
1997,8313,"Meat, Poultry and Seafood Process Workers",5,85.2,16870,0.21,Factory Process Workers,Labourers
1997,8311,Food and Drink Factory Workers,5,74.2,25654,0.32,Factory Process Workers,Labourers
1997,8312,"Meat Boners and Slicers, and Slaughterers",4,86.4,14550,0.18,Factory Process Workers,Labourers
1997,8394,Timber and Wood Process Workers,5,79.4,13332,0.16,Factory Process Workers,Labourers
1997,8399,Other Factory Process Workers,5,81.8,14051,0.17,Factory Process Workers,Labourers
1997,8393,Product Quality Controllers,4,97,23194,0.29,Factory Process Workers,Labourers
1997,8413,Forestry and Logging Workers,4,81.8,5488,0.06,"Farm, Forestry and Garden Workers",Labourers
1997,8419,"Other Farm, Forestry and Garden Workers",5,67.5,5384,0.06,"Farm, Forestry and Garden Workers",Labourers
1997,8414,Garden and Nursery Labourers,5,95,37455,0.47,"Farm, Forestry and Garden Workers",Labourers
1997,8415,Livestock Farm Workers,5,61.8,37654,0.47,"Farm, Forestry and Garden Workers",Labourers
1997,1213,Livestock Farmers,1,37.4,80189,1,Farmers and Farm Managers,Managers
1997,1214,Mixed Crop and Livestock Farmers,1,59,104831,1.31,Farmers and Farm Managers,Managers
1997,1211,Aquaculture Farmers,1,31.2,970,0.01,Farmers and Farm Managers,Managers
1997,1212,Crop Farmers,1,51,55378,0.69,Farmers and Farm Managers,Managers
1997,8513,Kitchenhands,5,84.3,99318,1.24,Food Preparation Assistants,Labourers
1997,8511,Fast Food Cooks,5,82.8,16271,0.2,Food Preparation Assistants,Labourers
1997,8512,Food Trades Assistants,5,84.3,5266,0.06,Food Preparation Assistants,Labourers
1997,3514,Cooks,3,86.2,36776,0.46,Food Trades Workers,Technicians and Trades Workers
1997,3512,Butchers and Smallgoods Makers,3,86.4,20549,0.25,Food Trades Workers,Technicians and Trades Workers
1997,3513,Chefs,2,52.2,35911,0.45,Food Trades Workers,Technicians and Trades Workers
1997,3511,Bakers and Pastrycooks,3,89,23016,0.28,Food Trades Workers,Technicians and Trades Workers
1997,5311,General Clerks,4,96,71293,0.89,General Clerical Workers,Clerical and Administrative Workers
1997,5321,Keyboard Operators,4,95.1,108958,1.37,General Clerical Workers,Clerical and Administrative Workers
1997,2513,Occupational and Environmental Health Professionals,1,12,7568,0.09,Health Professionals,Professionals
1997,2527,Audiologists and Speech Pathologists \ Therapists,1,0.6,2969,0.03,Health Professionals,Professionals
1997,2512,Medical Imaging Professionals,1,30.2,6741,0.08,Health Professionals,Professionals
1997,2514,Optometrists and Orthoptists,1,14,2672,0.03,Health Professionals,Professionals
1997,2523,Dental Practitioners,1,0.5,8488,0.1,Health Professionals,Professionals
1997,2519,Other Health Diagnostic and Promotion Professionals,1,41.9,2677,0.03,Health Professionals,Professionals
1997,2515,Pharmacists,1,1.2,14851,0.18,Health Professionals,Professionals
1997,2522,Complementary Health Therapists,1,2.5,3445,0.04,Health Professionals,Professionals
1997,2521,Chiropractors and Osteopaths,1,0.8,2514,0.03,Health Professionals,Professionals
1997,2524,Occupational Therapists,1,0.8,4098,0.05,Health Professionals,Professionals
1997,2511,Nutrition Professionals,1,0.4,1901,0.02,Health Professionals,Professionals
1997,2525,Physiotherapists,1,2.1,10257,0.12,Health Professionals,Professionals
1997,2526,Podiatrists,1,0.8,730,0,Health Professionals,Professionals
1997,4111,Ambulance Officers and Paramedics,2,49.4,6995,0.08,Health and Welfare Support Workers,Community and Personal Service Workers
1997,4116,Massage Therapists,2,27.2,2563,0.03,Health and Welfare Support Workers,Community and Personal Service Workers
1997,4114,Enrolled and Mothercraft Nurses,2,5.8,31118,0.39,Health and Welfare Support Workers,Community and Personal Service Workers
1997,4117,Welfare Support Workers,2,12.7,21553,0.27,Health and Welfare Support Workers,Community and Personal Service Workers
1997,4112,"Dental Hygienists, Technicians and Therapists",2,67,5096,0.06,Health and Welfare Support Workers,Community and Personal Service Workers
1997,4113,Diversional Therapists,3,9.1,2629,0.03,Health and Welfare Support Workers,Community and Personal Service Workers
1997,4311,Bar Attendants and Baristas,4,77,62359,0.78,Hospitality Workers,Community and Personal Service Workers
1997,4319,Other Hospitality Workers,5,66.2,4327,0.05,Hospitality Workers,Community and Personal Service Workers
1997,4312,Cafe Workers,5,92.9,16067,0.2,Hospitality Workers,Community and Personal Service Workers
1997,4313,Gaming Workers,4,76.9,8174,0.1,Hospitality Workers,Community and Personal Service Workers
1997,4315,Waiters,4,93.6,77249,0.97,Hospitality Workers,Community and Personal Service Workers
1997,4314,Hotel Service Managers,3,94,5562,0.06,Hospitality Workers,Community and Personal Service Workers
1997,1413,Hotel and Motel Managers,2,0.4,23510,0.29,"Hospitality, Retail and Service Managers",Managers
1997,1414,Licensed Club Managers,2,25,5715,0.07,"Hospitality, Retail and Service Managers",Managers
1997,1412,Caravan Park and Camping Ground Managers,2,25,5680,0.07,"Hospitality, Retail and Service Managers",Managers
1997,1499,"Other Hospitality, Retail and Service Managers",2,26.4,49057,0.61,"Hospitality, Retail and Service Managers",Managers
1997,1411,Cafe and Restaurant Managers,2,8.3,31252,0.39,"Hospitality, Retail and Service Managers",Managers
1997,1419,Other Accommodation and Hospitality Managers,2,26.1,5221,0.06,"Hospitality, Retail and Service Managers",Managers
1997,1492,Call or Contact Centre and Customer Service Managers,2,49.9,11031,0.13,"Hospitality, Retail and Service Managers",Managers
1997,1493,Conference and Event Organisers,2,4.9,5217,0.06,"Hospitality, Retail and Service Managers",Managers
1997,1494,Transport Services Managers,2,59,10828,0.13,"Hospitality, Retail and Service Managers",Managers
1997,1421,Retail Managers,2,16.1,194497,2.44,"Hospitality, Retail and Service Managers",Managers
1997,1491,"Amusement, Fitness and Sports Centre Managers",2,23.7,5446,0.06,"Hospitality, Retail and Service Managers",Managers
1997,2611,ICT Business and Systems Analysts,1,0.7,15292,0.19,ICT Professionals,Professionals
1997,2613,Software and Applications Programmers,1,27.3,51986,0.65,ICT Professionals,Professionals
